Dwarf Galaxy,name,RA,DEC,distance
Sagittarius,SDG,18.91753,-30.47833,20
Segue 1,Seg1,10.11756,16.07361,23
Tucana III,TucIII,23.94333,-59,60000,25
Hydrus I,HyiI,2.49261,-79.3089,27.6
Carina III,CarIII,7.64200,-57.89972,27.8
Triangulum II,TriII,2.22150,36.17844,30
Reticulum II,RetII,3.59503,-54.04917,32
Ursa Major II,UMaII,8.85833,63.13000,34.7
Segue 2,Seg2,2.32111,20.17528,35
Carina II,CarII,7.60711,-57.99917,36.2
Coma Berenices,ComaBer,12.44972,23.90417,42
Boötes II,BooII, 13.96667,12.85000,42
Willman 1,Will1,10.82250,51.05000,45
Boötes III,BooIII,13.95206,26.77500,50
Large Magellanic Cloud,LMC,5.39294,-69.75611,50
Tucana II,TucII,22.86531,-58.56889,58
Small Magellanic Cloud,SMC,0.87722,-72.80028,60
Ursa Minor,UMi,15.15316,67.21436,60
Boötes,Boo,14.00000,14.50000,66
Draco,Dra,17.33732,57.92122,80
Sculptor,Scl,1.00261,-33.70889,84.3
Horologium I,HorI,2.92547,-54.11889,87
Sextans,Sex,10.21747,-1.614722,90
Ursa Major I,UMaI,10.58133,51.92000,97.3
Carina,Car,6.69353,-50.96611,100
